Record number,Year,Month,dateNumber,totalConsumptioninMillionOfGallon,costPerGallon
1,2000,January,36526,1495.4,0.72
2,2000,February,36557,1435.2,0.75
3,2000,March,36586,1574,0.77
4,2000,April,36617,1553.1,0.76
5,2000,May,36647,1608.6,0.73
6,2000,June,36678,1632.3,0.71
7,2000,July,36708,1687,0.77
8,2000,August,36739,1697.8,0.8
9,2000,September,36770,1545.5,0.87
10,2000,October,36800,1647.7,0.9
11,2000,November,36831,1571.1,0.89
12,2000,December,36861,1578.5,0.91
13,2001,January,36892,1570.1,0.86
14,2001,February,36923,1453.4,0.85
15,2001,March,36951,1624.7,0.81
16,2001,April,36982,1559.1,0.78
17,2001,May,37012,1629.7,0.81
18,2001,June,37043,1637.2,0.81
19,2001,July,37073,1680.2,0.78
20,2001,August,37104,1718,0.77
21,2001,September,37135,1257.7,0.79
22,2001,October,37165,1329.7,0.72
23,2001,November,37196,1282.3,0.68
24,2001,December,37226,1325.5,0.59
25,2002,January,37257,1324.9,0.61
26,2002,February,37288,1228.9,0.62
27,2002,March,37316,1406.9,0.62
28,2002,April,37347,1374.2,0.69
29,2002,May,37377,1433.1,0.7
30,2002,June,37408,1456.9,0.68
31,2002,July,37438,1524,0.71
32,2002,August,37469,1527,0.73
33,2002,September,37500,1376,0.77
34,2002,October,37530,1458.9,0.82
35,2002,November,37561,1356.5,0.78
36,2002,December,37591,1391.4,0.77
37,2003,January,37622,1405.4,0.85
38,2003,February,37653,1258.8,0.9
39,2003,March,37681,1435.2,0.98
40,2003,April,37712,1334.3,0.85
41,2003,May,37742,1397,0.75
42,2003,June,37773,1402.6,0.76
43,2003,July,37803,1496.3,0.79
44,2003,August,37834,1504.7,0.83
45,2003,September,37865,1383.1,0.81
46,2003,October,37895,1438.5,0.82
47,2003,November,37926,1367.8,0.85
48,2003,December,37956,1444.3,0.89
49,2004,January,37987,1436.5,0.96
50,2004,February,38018,1379.5,0.98
51,2004,March,38047,1514,1
52,2004,April,38078,1475.4,1.01
53,2004,May,38108,1522.8,1.08
54,2004,June,38139,1549.3,1.09
55,2004,July,38169,1613.7,1.12
56,2004,August,38200,1617.8,1.19
57,2004,September,38231,1460.5,1.25
58,2004,October,38261,1549.8,1.39
59,2004,November,38292,1475,1.39
60,2004,December,38322,1550.3,1.3
61,2005,January,38353,1489.9,1.29
62,2005,February,38384,1385.3,1.33
63,2005,March,38412,1587,1.44
64,2005,April,38443,1509.1,1.59
65,2005,May,38473,1549.7,1.55
66,2005,June,38504,1589.9,1.56
67,2005,July,38534,1654.6,1.63
68,2005,August,38565,1642.2,1.79
69,2005,September,38596,1476.2,1.91
70,2005,October,38626,1479.1,2.14
71,2005,November,38657,1448.4,1.89
72,2005,December,38687,1513.1,1.72
73,2006,January,38718,1459.2,1.8
74,2006,February,38749,1339.3,1.83
75,2006,March,38777,1558.4,1.82
76,2006,April,38808,1497,1.91
77,2006,May,38838,1533,2.06
78,2006,June,38869,1555.3,2.09
79,2006,July,38899,1614.8,2.1
80,2006,August,38930,1634.9,2.14
81,2006,September,38961,1493.3,2.04
82,2006,October,38991,1535.4,1.91
83,2006,November,39022,1485.4,1.83
84,2006,December,39052,1533.7,1.88
85,2007,January,39083,1493.7,1.84
86,2007,February,39114,1352.6,1.75
87,2007,March,39142,1563.9,1.83
88,2007,April,39173,1512.5,1.94
89,2007,May,39203,1558.5,2.07
90,2007,June,39234,1582.9,2.05
91,2007,July,39264,1642.4,2.1
92,2007,August,39295,1653.3,2.15
93,2007,September,39326,1493.4,2.12
94,2007,October,39356,1549.4,2.23
95,2007,November,39387,1482.5,2.47
96,2007,December,39417,1541.6,2.55
97,2008,January,39448,1522.7,2.61
98,2008,February,39479,1444.1,2.58
99,2008,March,39508,1579.6,2.89
100,2008,April,39539,1525,3.01
101,2008,May,39569,1569.4,3.23
102,2008,June,39600,1581.2,3.46
103,2008,July,39630,1643.8,3.82
104,2008,August,39661,1603.9,3.53
105,2008,September,39692,1374.1,3.41
106,2008,October,39722,1412.3,3.33
107,2008,November,39753,1320.2,2.55
108,2008,December,39783,1402.2,2.04
109,2009,January,39814,1338.9,1.74
110,2009,February,39845,1219.2,1.84
111,2009,March,39873,1382.8,1.64
112,2009,April,39904,1353,1.74
113,2009,May,39934,1377.4,1.73
114,2009,June,39965,1443.1,1.88
115,2009,July,39995,1521,1.9
116,2009,August,40026,1428.1,2.02
117,2009,September,40057,1281.1,2
118,2009,October,40087,1324.8,1.98
119,2009,November,40118,1229.9,2.12
120,2009,December,40148,1334.8,2.11
121,2010,January,40179,1282.7,2.19
122,2010,February,40210,1148.4,2.15
123,2010,March,40238,1351.9,2.19
124,2010,April,40269,1311.3,2.29
125,2010,May,40299,1393.6,2.32
126,2010,June,40330,1427.7,2.21
127,2010,July,40360,1506.7,2.21
128,2010,August,40391,1478.6,2.22
129,2010,September,40422,1354.7,2.19
130,2010,October,40452,1371.3,2.35
131,2010,November,40483,1303.6,2.4
132,2010,December,40513,1372.6,2.47
133,2011,January,40544,1309.8,2.63
134,2011,February,40575,1189.3,2.78
135,2011,March,40603,1410.5,3.02
136,2011,April,40634,1370.4,3.21
137,2011,May,40664,1398,3.25
138,2011,June,40695,1448.6,3.11
139,2011,July,40725,1507.2,3.11
140,2011,August,40756,1461,3.12
141,2011,September,40787,1319.8,3.14
142,2011,October,40817,1338.8,3
143,2011,November,40848,1269.7,3.07
144,2011,December,40878,1326.2,3.06
145,2012,January,40909,1252.7,3.12
146,2012,February,40940,1207.9,3.21
147,2012,March,40969,1364.9,3.32
148,2012,April,41000,1301.5,3.34
149,2012,May,41030,1372.3,3.24
150,2012,June,41061,1403.9,3.02
151,2012,July,41091,1442.2,2.95
152,2012,August,41122,1421,3.08
153,2012,September,41153,1278.4,3.22
154,2012,October,41183,1287,3.28
155,2012,November,41214,1229.1,3.13
156,2012,December,41244,1298.4,3.12
157,2013,January,41275,1260.1,3.11
158,2013,February,41306,1141.1,3.26
159,2013,March,41334,1339.9,3.21
160,2013,April,41365,1305.4,3.05
161,2013,May,41395,1360.9,2.9
162,2013,June,41426,1398.5,2.9
163,2013,July,41456,1465.3,2.91
164,2013,August,41487,1442.9,2.99
165,2013,September,41518,1270.7,3.05
166,2013,October,41548,1326,2.99
167,2013,November,41579,1252.7,2.98
168,2013,December,41609,1341.3,3.02
169,2014,January,41640,1264.1,3.04
170,2014,February,41671,1144.5,3.02
171,2014,March,41699,1369,3.02
172,2014,April,41730,1325.6,2.96
173,2014,May,41760,1383.5,2.97
174,2014,June,41791,1430.8,2.95
175,2014,July,41821,1498.2,2.94
176,2014,August,41852,1459.3,2.93
177,2014,September,41883,1312.2,2.86
178,2014,October,41913,1356.4,2.68
179,2014,November,41944,1275.1,2.57
180,2014,December,41974,1373.6,2.32
181,2015,January,42005,1300.9,1.97
182,2015,February,42036,1174.8,2.31
183,2015,March,42064,1399.1,2.03
184,2015,April,42095,1374.4,1.94
185,2015,May,42125,1432.5,2.08
186,2015,June,42156,1477.8,2.05
187,2015,July,42186,1555.1,1.83
188,2015,August,42217,1514.2,1.68
189,2015,September,42248,1359.4,1.58
190,2015,October,42278,1393.4,1.65
191,2015,November,42309,1318.6,1.57
192,2015,December,42339,1429.4,1.46
193,2016,January,42370,1321.1,1.27
194,2016,February,42401,1244,1.21
195,2016,March,42430,1427.1,1.26
196,2016,April,42461,1386.7,1.33
197,2016,May,42491,1461.3,1.41
198,2016,June,42522,1522.3,1.83
199,2016,July,42552,1587,1.49
200,2016,August,42583,1553,1.44
201,2016,September,42614,1388.3,1.46
202,2016,October,42644,1402.2,1.57
203,2016,November,42675,1318.3,1.44
204,2016,December,42705,1433.2,1.59
205,2017,January,42736,1343.3,1.64
206,2017,February,42767,1208,1.7
207,2017,March,42795,1446.1,1.65
208,2017,April,42826,1408,1.65
209,2017,May,42856,1487.1,1.6
210,2017,June,42887,1553.6,1.54
211,2017,July,42917,1611.1,1.55
212,2017,August,42948,1589.3,1.63
213,2017,September,42979,1373.6,1.78
214,2017,October,43009,1448.9,1.82
215,2017,November,43040,1370.5,1.87
216,2017,December,43070,1455.8,1.91
217,2018,January,43101,1379.3,2.02
218,2018,February,43132,1267.4,2.03
219,2018,March,43160,1483,1.96
220,2018,April,43191,1454.8,2.08
221,2018,May,43221,1543.1,2.19
222,2018,June,43252,1587.2,2.21
223,2018,July,43282,1654.2,2.2
224,2018,August,43313,1630.6,2.2
225,2018,September,43344,1451.6,2.24
226,2018,October,43374,1505.2,2.35
227,2018,November,43405,1421.2,2.27
228,2018,December,43435,1489.2,2.06
229,2019,January,43466,1423.5,1.91
230,2019,February,43497,1290.6,1.98
231,2019,March,43525,1526.2,2.02
232,2019,April,43556,1486.1,2.06
233,2019,May,43586,1583.6,2.11
234,2019,June,43617,1615.3,2.01
235,2019,July,43647,1675.8,1.98
